word,total_count
grief,377
sea,376
tomorrow,375
run,374
general,374
too.,373
ah,371
work,370
page,370
messenger.,370
breath,369
remember,368
yea,368
gold,368
people,366
sons,362
ist,362
didst,362
brutus,362
servant,360
gentlemen,360
cold,359
something,358
over,358
charge,358
years,357
here.,357
more.,356
caesar.,356
uncle,354
serve,354
strong,354
seem,354
lives,353
citizen.,352
purpose,348
late,347
alice,347
heavens,346
highness,346
calld,346
next,345
law,345
age,344
desdemona.,344
sight,343
goes,343
virtue,342
cut,341
joy,340
free,340
trust,339
known,339
land,339
princess,336
canst,336
need,335
either,335
ii.,335
sister,334
alone,334
edward,334
took,333
return,333
comfort,333
hang,332
hate,331
warrant,330
thyself,330
doubt,330
almost,330
music,329
bound,329
menenius.,328
valentine.,328
kiss,327
rom.,326
berowne.,326
knew,325
twas,322
neither,322
petruchio.,322
rich,321
brave,321
truly,320
certain,320
air,320
side,319
justice,319
wind,318
masters,318
mans,318
toby.,318
hard,317
away.,317
praise,316
sorrow,316
heavy,316
pandarus.,316
coriolanus.,316
having,315
ask,315
cressida.,314
voice,313
unless,312
further,312
shes,311
foot,311
ear,311
shallow.,310
behold,310
black,310
change,310
proteus.,308
base,308
english,308
fit,307
ten,306
fie,306
merry,306
helena.,306
wise,304
cassius.,304
antonio.,304
money,303
just,303
patience,303
youll,302
maid,302
mercy,302
fal.,302
edward.,302
thanks,300
earl,300
brothers,299
will.,298
stands,298
knave,298
methinks,298
hot,295
come.,295
sake,294
soon,294
pleasure,294
heart.,294
buckingham.,294
needs,293
lest,293
spoke,292
hark,292
course,292
command,292
parolles.,292
common,291
sick,290
strike,290
oft,290
gives,290
exit.,290
troilus.,290
now.,289
women,288
fault,288
lady.,286
eat,286
four,286
field,285
become,285
weep,284
suffolk.,284
this.,283
sad,283
drink,283
company,283
iii.,283
palace,282
open,281
worse,280
portia.,280
go.,279
fortunes,278
twenty,277
got,277
white,276
lead,276
kent.,276
went,275
ring,274
married,274
hours,274
pedro.,274
born,274
ephesus.,274
ears,273
above,273
wherefore,272
tender,272
sin,272
valiant,272
fare,272
speak.,271
hand.,271
today,270
themselves,270
person,270
exeunt.,270
note,270
arm,270
grave,269
duty,269
speed.,268
yield,268
sirrah,268
deep,268
bene.,268
out.,267
wouldst,266
titus.,266
cassio.,266
lucius,266
grow,265
wherein,264
on.,264
bold,264
want,263
pass,263
soldier.,262
signior,260
self,260
fool.,260
oath,260
lovd,260
isabella.,260
tonight,259
door,259
past,259
ground,259
met,258
deny,258
glad,257
pay,257
revenge,256
question,256
beat,256
emilia.,256
lucius.,256
clarence,256
coming,255
sing,254
sovereign,254
captain,254
angelo.,254
leontes.,254
haste,253
write,252
often,252
pistol.,252
em,251
fetch,251
princes,250
letters,250
ladies,250
report,249
five,249
souls,248
enemy,248
life.,248
orlando.,248
claud.,248
ready,246
twere,246
olivia.,246
whole,245
soldier,245
witness,245
country,245
slave,244
point,244
viola.,244
content,243
saint,242
nurse.,242
dog,242
fast,242
confess,242
wars,240
spirits,240
deed,240
leon.,240
hector,240
suit,239
water,239
soft,239
flesh,238
pale,238
fell,238
sicinius.,238
imogen.,238
speaks,236
sworn,236
night.,236
glou.,236
herself,235
jul.,234
pretty,233
appear,233
wife.,232
wonder,232
bad,232
romeo,232
seems,231
walk,231
march,231
already,231
vile,230
messenger,230
prospero.,230
pompey.,230
sense,229
quickly,228
lips,228
mouth,228
living,228
margaret.,228
touch,227
t,227
loving,227
whilst,226
farewell.,226
de,226
mock,226
enobarbus.,226
strength,225
gone.,225
hundred,225
city,225
lucio.,224
julia.,224
office,223
iv.,221
rage,220
town,220
plain,220
liege,220
father.,220
entreat,220
excellent,220
attend,220
conscience,220
besides,220
cassio,220
takes,219
counsel,219
watch,218
hair,218
hot.,218
celia.,218
grant,217
behind,217
straight,216
mighty,216
bastard.,216
beat.,216
chief,216
hor.,216
win,215
hide,215
is.,215
noise,215
going,215
that.,214
day.,214
knight,214
pluck,214
bosom,214
armado.,214
bolingbroke.,214
buckingham,214
quite,213
speed,213
killd,212
no.,212
attendants,212
troilus,212
morning,211
be.,211
sport,210
wheres,210
deeds,210
fools,210
bless,210
bears,210
suffolk,210
claudio,210
bertram.,210
apemantus.,210
throw,209
moon,209
health,209
woe,208
slain,208
roman,208
elizabeth.,208
do.,207
its,207
guard,207
traitor,206
speech,206
house.,206
dream,206
form,205
kept,205
duchess.,205
teach,204
there.,204
battle,204
whether,203
small,203
die.,203
ourselves,203
close,203
time.,202
say.,202
shows,202
hadst,202
heads,202
dead.,202
feel,202
loss,202
friar,202
force,202
gainst,202
morrow,202
cardinal,202
parts,201
presently,200
weak,200
favour,200
passion,200
sebastian.,200
countess.,200
kate,200
antonio,200
action,199
children,199
toward,198
wast,198
servants,198
host.,198
in.,198
issue,198
count,198
harry,198
lafeu.,198
buy,197
